taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	true_max_depth	water_column_position	intertidal	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	temperature	general_comments
604005	Sebastes umbrosus	Honeycomb rockfish	6	59	573	2902	4005	30.13622757	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	119	30		demersal		37		{77}	1	25.7111718		"Amy's comments: nearshore (Jarvis, E. T., & Lowe, C. G. (2008). The effects of barotrauma on the catch-and-release survival of southern California nearshore and shelf rockfish (Scorpaenidae, Sebastes spp.). Canadian Journal of Fisheries and Aquatic Sciences, 65(7), 1286-1296.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Occur on or near bottom, usually shallower than 70 m (Ref. 2850). Viviparous (Ref. 34817)."
601412	Sarotherodon melanotheron	Blackchin tilapia	6	60	349	1934	1412	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.75	0		3		demersal	f	18	0	"{1,2,3,4,6}"	5	23.8		"Amy's comments: NR??. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: This species can tolerate high salinity (Ref. 5723). It occurs abundantly in mangrove areas and ventures in to both fresh, like lower reaches of streams (Ref. 5723) and salt waters in native and non-native ranges (Ref. 46816, 53405). In West Africa, this species is confined to brackish lagoons and estuaries, and is abundant in the mangrove zone (Ref. 2). Forms schools; is mainly nocturnal with intermittent daytime feeding. Feeds on aufwuchs and detritus (Ref. 2), as well as on bivalves and zooplankton (Ref. 28587). Feeding behaviour: picking up and swallowing bites (no gill rakers) (Ref. 55661)."
600192	Paracaesio sordida	Dirty ordure snapper	6	60	323	6493	192	28.22222218	0.4	0	0.75	0	0	0	0.5	0	0	0	0.5	0	200	5		reef-associated	f	32	-30	"{51,57,61,71,77}"	5	39		"Amy's comments: Observed along coast (Sreenath, K. R., Koya, M., Dash, G., Mojjada, S. K., Makwana, R. C., Kumari, S., & Joshi, K. K. (2012). Occurrence of the snapper Paracaesio sordida Abe & Shinohara, 1962 from north-west coast of India. Marine Fisheries Information Service; Technical and Extension Series, (211), 14-14.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
603641	Zalembius rosaceus	Pink seaperch	6	60	348	9561	3641	0.999999997	0.2	0	0	0	0	0	0.5	0.25	0.25	0	0	0.25	229	8		demersal				{77}	1	17.04		"Amy's comments: rare IUCN (http://www.iucnredlist.org/details/184037/0). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Adults occur offshore (Ref. 2850). Usually found in deeper water than other surfperches (Ref. 2850). Viviparous, female carries the developing young (Ref. 205)."
602618	Muraena retifera	Reticulate moray	6	26	56	2155	2618	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	76			demersal		45	18	"{21,31,41}"	3	60		"Amy's comments: Observed off coast of Santa Catarina, recorded at a depth of 7m, rocky reef (Barneche, D. R., Anderson, A. B., Floeter, S. R., Silveira, M., Dinslaken, D. F., & Carvalho-Filho, A. (2009). Ten new records of reef fish on the coast of Santa Catarina State, Brazil. Marine Biodiversity Records, 2, e143.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Known only from moderate depths along outer continental shelf."
601255	Acanthurus mata	Elongate surgeonfish	6	60	412	9710	1255	61.62790687	0.6	0	0.75	0	0.5	0	0.5	0	0.5	0	0.5	0	100	5		reef-associated	f	35	-24	"{51,57,61,71,77}"	5	41		"Amy's comments: observed on seagrass (Nakamura, Y., Shibuno, T., Lecchini, D., Kawamura, T., & Watanabe, Y. (2009). Spatial variability in habitat associations of pre-and post-settlement stages of coral reef fishes at Ishigaki Island, Japan. Marine Biology, 156(11), 2413-2419.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
601954	Selar boops	Oxeye scad	6	60	314	3942	1954	0.999999997	0.2	0	0.75	0	0	0	0	0	0.5	0	0.5	0	500	35		reef-associated	f	19	-22	"{57,61,71,77}"	4	23		"Amy's comments: Observed over degraded coral reef in the NT (Australia). (Gomelyuk, V. E. (2009). Fish assemblages composition and structure in three shallow habitats in north Australian tropical bay, Garig Gunak Barlu National Park, Northern Territory, Australia. Journal of the Marine Biological Association of the United Kingdom, 89(03), 449-460.. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
602558	Raja inornata	California skate	4	14	19	1309	2558	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.75	0	1600	13		demersal		49	23	"{67,77}"	2	76		"Amy's comments: Occurance on shelf (Bizzarro, J. J., Robinson, H. J., Rinewalt, C. S., & Ebert, D. A. (2009). Comparative feeding ecology of four sympatric skate species off central California, USA. In Biology of Skates (pp. 91-114). Springer Netherlands.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Common in inshore waters and in shallow bays, sometimes in deep water (Ref. 2850). Oviparous. Distinct pairing with embrace. Young may tend to follow large objects, such as their mother (Ref. 205). Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205). Egg capsules are 7.0-8.5 cm long and 6.5-7.6 cm wide (Ref. 41300)."
607367	Epinephelus timorensis	Yellowspotted grouper	6	60	289	7755	7367	0.999999997	0.2	0	0	0	0	0	0.25	0	0.25	0	0	0.25	210	73		demersal	f	1	-23	"{57,71,77}"	3	26		"Amy's comments: offshore according to FishBase Occurrances page. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
606482	Taeniura meyeni	Round ribbontail ray	4	14	20	9303	6482	60.39999982	0.4	0	0.75	0	0	0	0.5	0	0.5	0	0.5	0.5	500	0		reef-associated	f	41	-36	"{51,57,61,71,77,81,87}"	7	330		"Amy's comments: onshore to offshore (see: http://www.iucnredlist.org/details/60162/0). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
604219	Cyclopsetta fimbriata	Spotfin flounder	6	61	514	10222	4219	29.38422418	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	230	20		reef-associated		37	6	"{21,31,41}"	3	28.26891447		"Amy's comments: open and lower shelf waters (Powell, A. B., & Robbins, R. E. (1994). Abundance and distribution of ichthyoplankton along an inshore-offshore transect in Onslow Bay, North Carolina.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Found on soft bottoms (Ref. 5217). Marketed fresh (Ref. 5217)."
603994	Sebastes rosaceus	Rosy rockfish	6	59	573	2902	3994	28.72980378	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	128	15		demersal				"{67,77}"	2	31.464		"Amy's comments: outer continental shelf and bedrock habitats (Anderson, T. J., Syms, C., Roberts, D. A., & Howard, D. F. (2009). Multi-scale fishâ€“habitat associations and the use of habitat surrogates to predict the organisation and abundance of deep-water fish assemblages. Journal of Experimental Marine Biology and Ecology, 379(1), 34-42.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Caught fairly often by sport fishers using small hooks (Ref. 2850). Viviparous (Ref. 34817)."
